panel_id,asset_id,layer,layer_label,segment_id,point_index,panel_x,panel_y,source_x,source_y,closed_layer,connected_layer
A10_P03,A10,blue,Blue centreline,1,1,115.4916,48.2538,500.4916,403.2538,False,True
A10_P03,A10,blue,Blue centreline,1,2,116.5772,46.9512,501.5772,401.9512,False,True
A10_P03,A10,blue,Blue centreline,2,0,109.4126,53.4644,494.4126,408.4644,False,True
A10_P03,A10,blue,Blue centreline,2,1,108.3271,56.0697,493.3271,411.0697,False,True
A10_P03,A10,blue,Blue centreline,2,2,108.5442,58.4579,493.5442,413.4579,False,True
A10_P03,A10,blue,Blue centreline,2,3,110.0639,61.0632,495.0639,416.0632,False,True
A10_P03,A10,blue,Blue centreline,2,4,112.235,64.5369,497.235,419.5369,False,True
A10_P03,A10,blue,Blue centreline,2,5,114.6232,66.4909,499.6232,421.4909,False,True
A10_P03,A10,blue,Blue centreline,2,6,116.143,69.5304,501.14300000000003,424.5304,False,True
A10_P03,A10,blue,Blue centreline,2,7,116.7943,73.4383,501.7943,428.4383,False,True
A10_P03,A10,blue,Blue centreline,2,8,116.143,76.4779,501.14300000000003,431.4779,False,True
A10_P03,A10,blue,Blue centreline,3,0,111.8008,81.9056,496.8008,436.9056,False,True
A10_P03,A10,blue,Blue centreline,3,1,109.8468,84.728,494.84680000000003,439.728,False,True
A10_P03,A10,blue,Blue centreline,3,2,109.6297,89.5043,494.6297,444.5043,False,True
A10_P03,A10,blue,Blue centreline,3,3,110.9324,93.4123,495.93240000000003,448.4123,False,True
A10_P03,A10,blue,Blue centreline,3,4,113.3206,97.5373,498.3206,452.5373,False,True
A10_P03,A10,blue,Blue centreline,3,5,115.4916,101.0111,500.4916,456.0111,False,True
A10_P03,A10,blue,Blue centreline,3,6,118.5312,106.0046,503.5312,461.0046,False,True
A10_P03,A10,blue,Blue centreline,3,7,120.7022,109.4783,505.7022,464.4783,False,True
A10_P03,A10,blue,Blue centreline,3,8,122.0049,113.8205,507.0049,468.8205,False,True
