crop_id,crop_file_sha256,crop_pixel_sha256,landmark_id,pass_number,operator,segment_id,sequence_index,x_px,y_px,local_stroke_width_px,source_feature,operator_note,timestamp_utc
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,4,1289.46138442,764.151590671,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,5,1292.29733162,768.12191676,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,6,1294.42429203,772.659432289,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,7,1296.83484715,777.196947818,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,8,1299.24540228,780.174692385,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,9,1301.51416004,784.286815833,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,10,1304.35010725,787.973547201,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,11,1306.47706765,791.802075929,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,12,1308.4622307,796.481388818,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,13,1311.15638054,801.160701708,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,14,1313.42513831,804.989230436,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,15,1315.55209871,808.534164443,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,16,1317.96265384,812.220895811,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S05,17,1320.37320896,815.907627179,2,printed curve labelled y=0 (x-axis),solid front-side run started near interior spiral; stopped near curve between UCLL and UCLR nodes,2026-08-03T07:33:46Z
