axis,pass_number,bin_index,bin_left,bin_right,is_last_bin,sample_count,weight_total,signed_mean_deg,rms_deg,p95_abs_deg,chord_rms_px
F_rho,2,17,5.04254609122335,5.33727714127345,False,82,10.0817077824636,-38.5525266621862,38.7190134413031,45.0605827546818,21.6601244073633
F_rho,2,18,5.33727714127345,5.63200819132355,False,531,40.0095328952873,-1.47659926908276,36.6873526838184,54.1368917322555,19.1663831354293
F_rho,2,19,5.63200819132355,5.92673924137365,True,169,20.7781538443456,-42.0559234105812,44.018850291272,56.8747400266635,22.1219013426018
phase,1,0,0,0.174532925199433,False,122,25.8368367374176,-57.8350417546113,58.6974141320978,64.8939085053168,94.875110512093
phase,1,1,0.174532925199433,0.349065850398866,False,113,23.3069174869075,-57.5789322625883,58.7221643332316,64.9397803719463,89.669317703405
phase,1,2,0.349065850398866,0.523598775598299,False,63,14.6458371280874,-56.868590403358,57.6448467930181,62.8977294186597,87.3085576498901
phase,1,3,0.523598775598299,0.698131700797732,False,66,16.0129320485271,-48.6004173461306,49.5499749102766,55.3073196490243,72.8129587124051
phase,1,4,0.698131700797732,0.872664625997165,False,92,21.7655650219144,-47.7878902315981,47.9384253133948,55.3394660071947,63.8732098576036
phase,1,5,0.872664625997165,1.0471975511966,False,88,21.0411882417649,-43.2649416478277,44.4779351953455,61.7197484006135,52.5764757039545
phase,1,6,1.0471975511966,1.22173047639603,False,88,21.2732291089683,-35.0861757588722,38.4323263275115,63.4382071996549,39.2369070609452
phase,1,7,1.22173047639603,1.39626340159546,False,87,21.1501451307318,-27.7925084001533,34.7114919376968,64.9677709924617,27.1656703424344
phase,1,8,1.39626340159546,1.5707963267949,False,85,20.6719363070553,-22.0947040616123,33.0752135367527,65.6644104852494,19.2793970861559
phase,1,9,1.5707963267949,1.74532925199433,False,85,20.6719363070553,-13.4277494924731,28.9086770172956,63.2502691821564,14.5186365965261
phase,1,10,1.74532925199433,1.91986217719376,False,86,21.0270611524953,0.607259007952913,23.2761197480898,44.1037719257203,21.7689146946689
phase,1,11,1.91986217719376,2.0943951023932,False,87,21.1501451307318,13.931603523912,24.5335444450732,29.5762302906145,35.4307318087218
phase,1,12,2.0943951023932,2.26892802759263,False,62,14.0084926911759,25.6337387157872,29.9216084251681,37.3860468425679,46.6875685904219
phase,1,13,2.26892802759263,2.44346095279206,False,138,20.6631670679443,35.2029711078436,35.8924063826656,40.6344665584417,52.3796051593399
phase,1,14,2.44346095279206,2.61799387799149,False,146,20.8948313359841,38.5513491202645,39.0347273046954,42.3510473322628,53.529804965308
phase,1,15,2.61799387799149,2.79252680319093,False,142,19.9602714187375,42.8098521693979,42.845959432736,45.2724275702668,53.1676937461004
phase,1,16,2.79252680319093,2.96705972839036,False,139,19.3178320367474,47.3654070189479,47.3781308921174,49.4300070751781,56.3031005189324
phase,1,17,2.96705972839036,3.14159265358979,False,89,16.4079164628794,50.1010534746602,50.1162637775694,53.0277889377608,61.4790369165116
phase,1,18,3.14159265358979,3.31612557878923,False,46,13.4375446217949,53.6282141930436,53.6393697161344,55.4335054086457,68.5622785718964
phase,1,19,3.31612557878923,3.49065850398866,False,44,12.8533035512821,58.6970780338674,58.7303252646489,61.6181211447537,73.0107301833157
