crop_id,crop_file_sha256,crop_pixel_sha256,landmark_id,pass_number,operator,sequence_index,x_px,y_px,local_stroke_width_px,object_type,fit_partition,source_feature,operator_note,timestamp_utc
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,37,1204.70017811,1036.82537107,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,38,1156.26162676,1025.13330695,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,39,1114.5042549,1010.10065308,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-RIM-NODE-UL,2,Salah-Eddin Gherbi,0,1079.42806254,398.772729072,13.5,point,calibration,upper-left black node on the equator-at-horizon limb,,2026-07-31T15:47:00Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-RIM-NODE-UR,2,Salah-Eddin Gherbi,0,1426.8493964,400.443023946,13.5,point,calibration,upper-right black node on the equator-at-horizon limb,,2026-07-31T15:47:11Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-RIM-NODE-R,2,Salah-Eddin Gherbi,0,1592.20858896,697.755511577,13.5,point,calibration,right-middle black node on the equator-at-horizon limb,,2026-07-31T15:47:23Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-RIM-NODE-LR-SHARED,2,Salah-Eddin Gherbi,0,1425.17910152,991.72740946,13.5,point,calibration,lower-right black rim node where the labelled y=0 and y=1 curves and the thick spiral visually converge,,2026-07-31T15:47:41Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-RIM-NODE-LL,2,Salah-Eddin Gherbi,0,1081.09835741,993.397704334,13.5,point,calibration,lower-left black node on the equator-at-horizon limb,,2026-07-31T15:47:55Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-RIM-NODE-L,2,Salah-Eddin Gherbi,0,914.068869978,687.733742331,13.5,point,calibration,left-middle black node on the equator-at-horizon limb,,2026-07-31T15:48:13Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-CENTRAL-REFERENCE-NODE,2,Salah-Eddin Gherbi,0,1248.12784484,699.425806452,13.5,point,calibration,central black square at the centre of the spherical-panel spiral,,2026-07-31T15:48:46Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-UPPER-INTERIOR-CROSSING,2,Salah-Eddin Gherbi,0,1244.7872551,497.320126657,13.6,point,calibration,unlabelled sharp crossing node above the central reference node,,2026-07-31T15:48:59Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-FLAT-UNIT-R1-THETA1RAD,2,Salah-Eddin Gherbi,0,755.390856917,610.900178112,7,point,scale_calibration,"flat-panel marker labelled r=1, theta=1 Radian approximately 57 degrees",,2026-07-31T15:49:18Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPHERE-UNIT-R1-ONEMONTH,2,Salah-Eddin Gherbi,0,1391.77320404,777.929665545,6,point,scale_calibration,"spherical-panel white marker labelled r=1, theta=1 MONTH",,2026-07-31T15:49:38Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-FLAT-INNER-END,2,Salah-Eddin Gherbi,0,585.020779735,514.023075401,3,point,holdout,flat-panel inner endpoint associated with theta=3*pi+1 and r approximately 1/10,,2026-07-31T15:50:14Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPHERE-INNER-END,2,Salah-Eddin Gherbi,0,1223.07342173,687.733742331,3,point,holdout,visible innermost termination of the thick spiral in the spherical panel,,2026-07-31T15:50:30Z
